transaction_id,transaction_date,customer_id,product_id,store_id,quantity,revenue,cost,margin,discount_pct,region_tier,delivery_time_hours,delivery_distance_km,is_perishable
TXN000001,2024-09-11,CUST0398,PRD0004,STR0061,1,40.25142900231665,36.970033460183934,3.2813955421327137,15,Tier 2,8.942396769862587,23.04323802912183,False
TXN000002,2024-04-05,CUST0472,PRD0022,STR0008,4,2581.911519726427,2206.3311266913106,375.58039303511623,0,Metro,3.8287291117375575,6.201638116269818,False
TXN000003,2024-04-08,CUST0263,PRD0019,STR0039,2,142.24475507791826,133.10730460160897,9.137450476309283,10,Tier 2,4.463501345163996,18.536199345689145,False
TXN000004,2024-02-20,CUST0438,PRD0006,STR0037,3,126.11277633733604,97.41041794648889,28.702358390847152,0,Tier 2,7.129095932923807,29.472321456875225,False
TXN000005,2024-01-13,CUST0828,PRD0009,STR0074,2,164.62243881781123,133.01813831028906,31.60430050752217,0,Tier 3,7.938465995123935,20.248277743778324,True
TXN000006,2024-05-05,CUST0118,PRD0019,STR0033,4,316.09945572870726,266.21460920321795,49.88484652548931,0,Tier 2,4.095059298697603,11.256072454114884,False
TXN000007,2024-01-12,CUST0607,PRD0009,STR0048,1,69.96453649756977,66.50906915514453,3.455467342425237,15,Tier 2,9.337454493692446,9.89477836973241,True
TXN000008,2024-08-10,CUST0384,PRD0002,STR0026,3,418.69949219534,353.51781905210584,65.18167314323415,5,Metro,2.0647155713881618,14.438411506643932,False
TXN000009,2024-05-20,CUST0754,PRD0018,STR0008,1,167.17629335193394,145.87584396894712,21.300449382986812,10,Metro,1.3335924469184541,8.40412635578117,False
TXN000010,2024-07-19,CUST0929,PRD0018,STR0021,5,928.7571852885219,729.3792198447356,199.37796544378625,0,Metro,2.359722540486493,2.420107364425456,False
TXN000011,2024-09-16,CUST0446,PRD0004,STR0004,1,47.35462235566664,36.970033460183934,10.384588895482707,0,Metro,1.7543273185353954,5.571513361336814,False
TXN000012,2024-07-23,CUST0126,PRD0011,STR0078,1,123.29203043735578,103.42234736668554,19.869683070670234,0,Tier 3,5.321028864832431,34.83222737688365,True
TXN000013,2024-08-14,CUST0883,PRD0023,STR0055,2,1844.2197608448096,1776.3399448000507,67.87981604475885,10,Tier 2,8.247313624060112,5.761803818339854,False
TXN000014,2024-05-13,CUST0118,PRD0018,STR0011,1,185.75143705770438,145.87584396894712,39.875593088757256,0,Metro,3.9084112998261067,13.251592636621744,False
TXN000015,2024-03-16,CUST0995,PRD0016,STR0026,3,369.1195885104021,308.7161466845178,60.40344182588427,0,Metro,3.798814201299864,14.882083193946078,False
TXN000016,2024-09-10,CUST0196,PRD0016,STR0017,3,369.1195885104021,308.7161466845178,60.40344182588427,0,Metro,3.99307784777153,11.781240560504695,False
TXN000017,2024-02-24,CUST0371,PRD0007,STR0062,1,155.93170453344106,129.8931168960506,26.038587637390464,0,Tier 2,8.862435523017444,13.303660316373474,True
TXN000018,2024-05-23,CUST0424,PRD0024,STR0049,1,1107.059930560796,967.5666141341164,139.49331642667948,0,Tier 2,4.334814044645666,5.913741696202372,False
